,chi,metric,val_idx,vs_method,score
183,chi_1,roc_auc,63,LR,0.55804
184,chi_1,roc_auc,64,LR,0.50344
185,chi_1,roc_auc,65,LR,0.57301
186,chi_1,roc_auc,66,LR,0.52464
187,chi_1,roc_auc,67,LR,0.47408
188,chi_1,roc_auc,68,LR,0.46419
189,chi_1,roc_auc,69,LR,0.56431
190,chi_1,roc_auc,70,LR,0.48579
191,chi_1,roc_auc,71,LR,0.52072
192,chi_1,roc_auc,72,LR,0.52004
193,chi_1,roc_auc,73,LR,0.46643
194,chi_1,roc_auc,74,LR,0.51161
195,chi_1,roc_auc,75,LR,0.53894
196,chi_1,roc_auc,76,LR,0.56708
197,chi_1,roc_auc,77,LR,0.5211
198,chi_1,roc_auc,78,LR,0.5236
199,chi_1,roc_auc,79,LR,0.58637
200,chi_1,roc_auc,80,LR,0.47874
201,chi_1,roc_auc,81,LR,0.47496
202,chi_1,roc_auc,82,LR,0.52333
203,chi_1,roc_auc,83,LR,0.5245
204,chi_1,roc_auc,84,LR,0.45116
205,chi_1,roc_auc,85,LR,0.47249
206,chi_1,roc_auc,86,LR,0.4797
207,chi_1,roc_auc,87,LR,0.49491
208,chi_1,roc_auc,88,LR,0.47991
209,chi_1,roc_auc,89,LR,0.56966
210,chi_1,roc_auc,90,LR,0.49408
211,chi_1,roc_auc,91,LR,0.56935
212,chi_1,roc_auc,92,LR,0.47956
213,chi_1,roc_auc,93,LR,0.48347
214,chi_1,roc_auc,94,LR,0.48121
215,chi_1,roc_auc,95,LR,0.46402
216,chi_1,roc_auc,96,LR,0.4677
217,chi_1,roc_auc,97,LR,0.53246
218,chi_1,roc_auc,98,LR,0.50552
219,chi_1,roc_auc,99,LR,0.50247
220,chi_1,roc_auc,100,LR,0.47975
221,chi_1,roc_auc,101,LR,0.52363
222,chi_1,roc_auc,102,LR,0.5181
223,chi_1,roc_auc,103,LR,0.47135
224,chi_1,roc_auc,104,LR,0.5537
225,chi_1,roc_auc,105,LR,0.51318
226,chi_1,roc_auc,106,LR,0.46898
227,chi_1,roc_auc,107,LR,0.48553
228,chi_1,roc_auc,108,LR,0.44959
229,chi_1,roc_auc,109,LR,0.52623
230,chi_1,roc_auc,110,LR,0.52762
231,chi_1,roc_auc,111,LR,0.53564
232,chi_1,roc_auc,112,LR,0.52988
233,chi_1,roc_auc,113,LR,0.45802
234,chi_1,roc_auc,114,LR,0.46794
235,chi_1,roc_auc,115,LR,0.50972
236,chi_1,roc_auc,116,LR,0.57035
237,chi_1,roc_auc,117,LR,0.46467
238,chi_1,roc_auc,118,LR,0.5395
239,chi_1,roc_auc,119,LR,0.53729
240,chi_0.75,nef,0,LR,0.17391
241,chi_0.75,nef,1,LR,0.15942
242,chi_0.75,nef,2,LR,0.14493
243,chi_0.75,nef,3,LR,0.17143
244,chi_0.75,nef,4,LR,0.1
245,chi_0.75,nef,5,LR,0.11594
246,chi_0.75,nef,6,LR,0.13043
247,chi_0.75,nef,7,LR,0.15942
248,chi_0.75,nef,8,LR,0.15942
249,chi_0.75,nef,9,LR,0.17391
250,chi_0.75,nef,10,LR,0.18841
251,chi_0.75,nef,11,LR,0.12857
252,chi_0.75,nef,12,LR,0.10145
253,chi_0.75,nef,13,LR,0.08696
254,chi_0.75,nef,14,LR,0.18841
255,chi_0.75,nef,15,LR,0.14286
256,chi_0.75,nef,16,LR,0.2029
