,,LR,GBT,DClf,csAVG,csGEO,csMIN
roc_auc,25,0.81543,0.8595,0.50684,0.49373,0.48755,0.51262
roc_auc,26,0.82617,0.83586,0.53506,0.61384,0.60934,0.63974
roc_auc,27,0.78281,0.86668,0.50283,0.54784,0.54125,0.57644
roc_auc,28,0.79892,0.86096,0.52246,0.60609,0.59622,0.64156
roc_auc,29,0.82489,0.79425,0.48145,0.51448,0.51074,0.54915
roc_auc,30,0.8273,0.88683,0.49014,0.58767,0.57742,0.60407
roc_auc,31,0.80908,0.84149,0.46473,0.56658,0.55859,0.59722
roc_auc,32,0.78381,0.86072,0.49609,0.55627,0.54398,0.62392
roc_auc,33,0.83621,0.88757,0.49121,0.54179,0.53937,0.54529
roc_auc,34,0.82464,0.83403,0.51552,0.63555,0.63277,0.61098
roc_auc,35,0.79223,0.86503,0.48425,0.54614,0.53388,0.61087
roc_auc,36,0.8042,0.88931,0.50293,0.55331,0.55194,0.54851
roc_auc,37,0.81735,0.84372,0.49219,0.50018,0.49042,0.57121
roc_auc,38,0.83247,0.88653,0.51159,0.62746,0.61864,0.65084
roc_auc,39,0.7925,0.8558,0.47058,0.59218,0.5814,0.61515
roc_auc,40,0.78326,0.84137,0.48633,0.50963,0.50128,0.53662
roc_auc,41,0.85913,0.89749,0.49414,0.58653,0.57886,0.6048
roc_auc,42,0.8099,0.85616,0.51258,0.58445,0.57225,0.64289
roc_auc,43,0.79036,0.85363,0.50966,0.59687,0.59262,0.60592
roc_auc,44,0.79599,0.85602,0.46191,0.57767,0.56717,0.6172
roc_auc,45,0.79849,0.88666,0.52051,0.59718,0.58627,0.6292
roc_auc,46,0.79342,0.88748,0.50868,0.56294,0.55703,0.59034
roc_auc,47,0.83176,0.8532,0.52529,0.5396,0.53672,0.55088
roc_auc,48,0.83194,0.88464,0.49219,0.6207,0.61322,0.66161
roc_auc,49,0.83096,0.88385,0.45215,0.56717,0.56363,0.57932
roc_auc,50,0.79694,0.85194,0.53799,0.58426,0.57247,0.64098
roc_auc,51,0.79776,0.87647,0.47938,0.50456,0.49755,0.50486
roc_auc,52,0.77261,0.77908,0.48438,0.56789,0.56036,0.58357
roc_auc,53,0.80261,0.87604,0.5127,0.52174,0.51099,0.57333
roc_auc,54,0.83571,0.89072,0.5087,0.61304,0.60353,0.62896
roc_auc,55,0.78015,0.828,0.48133,0.57618,0.56984,0.60291
roc_auc,56,0.7854,0.8428,0.47461,0.58388,0.57507,0.61322
roc_auc,57,0.81934,0.84775,0.45605,0.58887,0.5863,0.61504
roc_auc,58,0.8125,0.84054,0.48133,0.52633,0.51789,0.55544
roc_auc,59,0.80473,0.85451,0.49598,0.57413,0.56397,0.60581
roc_auc,60,0.80148,0.858,0.4873,0.54294,0.53171,0.58444
roc_auc,61,0.82758,0.81555,0.48145,0.54211,0.53702,0.56107
roc_auc,62,0.79593,0.85907,0.47253,0.6146,0.6036,0.64246
roc_auc,63,0.80895,0.82277,0.49893,0.57814,0.57176,0.60211
roc_auc,64,0.7886,0.85913,0.4873,0.58011,0.57465,0.60612
roc_auc,65,0.78143,0.83298,0.48438,0.57422,0.56494,0.60085
roc_auc,66,0.79565,0.8095,0.46277,0.55415,0.54969,0.55955
roc_auc,67,0.82342,0.89527,0.48719,0.56635,0.55449,0.62407
roc_auc,68,0.79547,0.83105,0.50293,0.60201,0.5929,0.63345
