,chi,metric,val_idx,vs_method,score
214,chi_1,roc_auc,94,LR,0.48658
215,chi_1,roc_auc,95,LR,0.48913
216,chi_1,roc_auc,96,LR,0.47748
217,chi_1,roc_auc,97,LR,0.49854
218,chi_1,roc_auc,98,LR,0.51926
219,chi_1,roc_auc,99,LR,0.51129
220,chi_1,roc_auc,100,LR,0.48485
221,chi_1,roc_auc,101,LR,0.49373
222,chi_1,roc_auc,102,LR,0.50426
223,chi_1,roc_auc,103,LR,0.50344
224,chi_1,roc_auc,104,LR,0.48353
225,chi_1,roc_auc,105,LR,0.54057
226,chi_1,roc_auc,106,LR,0.50319
227,chi_1,roc_auc,107,LR,0.48471
228,chi_1,roc_auc,108,LR,0.469
229,chi_1,roc_auc,109,LR,0.49958
230,chi_1,roc_auc,110,LR,0.49897
231,chi_1,roc_auc,111,LR,0.44775
232,chi_1,roc_auc,112,LR,0.51235
233,chi_1,roc_auc,113,LR,0.55466
234,chi_1,roc_auc,114,LR,0.53882
235,chi_1,roc_auc,115,LR,0.49776
236,chi_1,roc_auc,116,LR,0.51131
237,chi_1,roc_auc,117,LR,0.48407
238,chi_1,roc_auc,118,LR,0.4587
239,chi_1,roc_auc,119,LR,0.48188
240,chi_0.75,nef,0,LR,0.06849
241,chi_0.75,nef,1,LR,0.12925
242,chi_0.75,nef,2,LR,0.12329
243,chi_0.75,nef,3,LR,0.10274
244,chi_0.75,nef,4,LR,0.16327
245,chi_0.75,nef,5,LR,0.12329
246,chi_0.75,nef,6,LR,0.14384
247,chi_0.75,nef,7,LR,0.13699
248,chi_0.75,nef,8,LR,0.10959
249,chi_0.75,nef,9,LR,0.13605
250,chi_0.75,nef,10,LR,0.11644
251,chi_0.75,nef,11,LR,0.08219
252,chi_0.75,nef,12,LR,0.15753
253,chi_0.75,nef,13,LR,0.08844
254,chi_0.75,nef,14,LR,0.15068
255,chi_0.75,nef,15,LR,0.16438
256,chi_0.75,nef,16,LR,0.15068
257,chi_0.75,nef,17,LR,0.15646
258,chi_0.75,nef,18,LR,0.08904
259,chi_0.75,nef,19,LR,0.13699
260,chi_0.75,nef,20,LR,0.11565
261,chi_0.75,nef,21,LR,0.12329
