,,LR,GBT,DClf,csAVG,csGEO,csMIN
nef_Ra,40,0.4,0.52,0.04,0.24,0.22667,0.22667
nef_Ra,41,0.4,0.48,0.02667,0.22667,0.22667,0.17333
nef_Ra,42,0.4,0.45333,0.04,0.24,0.24,0.21333
nef_Ra,43,0.46667,0.52,0.06667,0.29333,0.29333,0.28
nef_Ra,44,0.41333,0.42667,0.05333,0.21333,0.21333,0.17333
nef_Ra,45,0.44,0.46667,0.02667,0.21333,0.21333,0.17333
nef_Ra,46,0.46667,0.54667,0.02667,0.29333,0.29333,0.29333
nef_Ra,47,0.4,0.53333,0.01333,0.25333,0.26667,0.28
nef_Ra,48,0.37333,0.46667,0.02667,0.26667,0.26667,0.25333
nef_Ra,49,0.41333,0.44,0.02667,0.22667,0.22667,0.22667
nef_Ra,50,0.46667,0.50667,0.04,0.28,0.28,0.25333
nef_Ra,51,0.42667,0.52,0.0,0.21333,0.21333,0.17333
nef_Ra,52,0.45333,0.44,0.06667,0.2,0.18667,0.17333
nef_Ra,53,0.4,0.46667,0.01333,0.26667,0.26667,0.25333
nef_Ra,54,0.54667,0.61333,0.02667,0.29333,0.29333,0.26667
nef_Ra,55,0.34667,0.4,0.04,0.22667,0.22667,0.18667
nef_Ra,56,0.42667,0.45333,0.04,0.29333,0.29333,0.22667
nef_Ra,57,0.38667,0.54667,0.01333,0.29333,0.29333,0.25333
nef_Ra,58,0.4,0.37333,0.02667,0.17333,0.17333,0.2
nef_Ra,59,0.50667,0.50667,0.04,0.22667,0.22667,0.22667
nef_Ra,60,0.44,0.50667,0.02667,0.28,0.28,0.26667
nef_Ra,61,0.42667,0.53333,0.02667,0.2,0.2,0.17333
nef_Ra,62,0.34667,0.49333,0.01333,0.24,0.24,0.24
nef_Ra,63,0.41333,0.48,0.02667,0.25333,0.25333,0.18667
nef_Ra,64,0.4,0.54667,0.02667,0.21333,0.2,0.18667
nef_Ra,65,0.37333,0.46667,0.04,0.21333,0.21333,0.18667
nef_Ra,66,0.42667,0.53333,0.02667,0.34667,0.34667,0.28
nef_Ra,67,0.42667,0.48,0.02667,0.24,0.24,0.22667
nef_Ra,68,0.37333,0.45333,0.05333,0.22667,0.22667,0.24
nef_Ra,69,0.41333,0.48,0.09333,0.22667,0.22667,0.2
nef_Ra,70,0.42667,0.53333,0.01333,0.26667,0.26667,0.24
nef_Ra,71,0.42667,0.52,0.05333,0.28,0.28,0.22667
nef_Ra,72,0.44,0.53333,0.02667,0.2,0.2,0.22667
nef_Ra,73,0.44,0.52,0.01333,0.32,0.32,0.24
nef_Ra,74,0.34667,0.38667,0.01333,0.29333,0.29333,0.24
nef_Ra,75,0.41333,0.52,0.02667,0.17333,0.17333,0.2
nef_Ra,76,0.37333,0.54667,0.08,0.2,0.2,0.21333
nef_Ra,77,0.48,0.52,0.02667,0.30667,0.30667,0.26667
nef_Ra,78,0.44,0.48,0.02667,0.21333,0.21333,0.21333
nef_Ra,79,0.37333,0.41333,0.0,0.24,0.24,0.21333
nef_Ra,80,0.46667,0.50667,0.04,0.24,0.24,0.21333
nef_Ra,81,0.4,0.48,0.06667,0.24,0.24,0.2
nef_Ra,82,0.41333,0.53333,0.06667,0.26667,0.24,0.28
nef_Ra,83,0.36,0.46667,0.02667,0.25333,0.25333,0.24
nef_Ra,84,0.4,0.50667,0.01333,0.24,0.24,0.25333
nef_Ra,85,0.42667,0.48,0.05333,0.26667,0.26667,0.2
nef_Ra,86,0.4,0.46667,0.08,0.28,0.25333,0.25333
nef_Ra,87,0.4,0.46667,0.01333,0.21333,0.21333,0.2
nef_Ra,88,0.42667,0.52,0.02667,0.24,0.22667,0.24
nef_Ra,89,0.41333,0.44,0.04,0.24,0.24,0.25333
nef_Ra,90,0.44,0.53333,0.02667,0.24,0.24,0.2
nef_Ra,91,0.42667,0.42667,0.05333,0.26667,0.25333,0.22667
nef_Ra,92,0.44,0.62667,0.06667,0.30667,0.30667,0.30667
nef_Ra,93,0.45333,0.46667,0.05333,0.22667,0.22667,0.22667
nef_Ra,94,0.34667,0.48,0.01333,0.21333,0.21333,0.2
nef_Ra,95,0.44,0.50667,0.05333,0.24,0.25333,0.17333
nef_Ra,96,0.49333,0.53333,0.05333,0.29333,0.29333,0.25333
nef_Ra,97,0.45333,0.53333,0.01333,0.21333,0.21333,0.17333
nef_Ra,98,0.37333,0.48,0.01333,0.21333,0.21333,0.21333
nef_Ra,99,0.45333,0.4,0.02667,0.26667,0.26667,0.25333
nef_Ra,100,0.44,0.53333,0.01333,0.26667,0.26667,0.22667
nef_Ra,101,0.45333,0.52,0.01333,0.22667,0.22667,0.22667
nef_Ra,102,0.34667,0.46667,0.06667,0.2,0.2,0.17333
nef_Ra,103,0.42667,0.46667,0.01333,0.26667,0.26667,0.25333
nef_Ra,104,0.48,0.50667,0.04,0.28,0.26667,0.24
nef_Ra,105,0.46667,0.49333,0.06667,0.26667,0.25333,0.29333
nef_Ra,106,0.36,0.46667,0.05333,0.26667,0.26667,0.22667
nef_Ra,107,0.34667,0.53333,0.04,0.18667,0.18667,0.16
nef_Ra,108,0.46667,0.50667,0.06667,0.25333,0.25333,0.24
nef_Ra,109,0.4,0.52,0.08,0.22667,0.22667,0.24
nef_Ra,110,0.36,0.45333,0.02667,0.26667,0.26667,0.22667
nef_Ra,111,0.48,0.48,0.04,0.22667,0.22667,0.17333
nef_Ra,112,0.38667,0.45333,0.08,0.21333,0.21333,0.18667
nef_Ra,113,0.37333,0.49333,0.01333,0.21333,0.22667,0.21333
nef_Ra,114,0.42667,0.50667,0.05333,0.26667,0.25333,0.25333
nef_Ra,115,0.50667,0.52,0.06667,0.25333,0.25333,0.25333
nef_Ra,116,0.4,0.48,0.0,0.26667,0.26667,0.25333
nef_Ra,117,0.45333,0.48,0.08,0.24,0.24,0.24
nef_Ra,118,0.46667,0.49333,0.02667,0.25333,0.25333,0.24
nef_Ra,119,0.36,0.45333,0.04,0.21333,0.21333,0.17333
roc_auc,0,0.83312,0.89363,0.50443,0.6607,0.65978,0.65659
roc_auc,1,0.85516,0.89332,0.49842,0.67591,0.67679,0.64133
roc_auc,2,0.81572,0.90259,0.49336,0.61536,0.61587,0.60008
roc_auc,3,0.80744,0.83551,0.50677,0.61379,0.61591,0.57373
roc_auc,4,0.85165,0.90471,0.50638,0.65967,0.66046,0.64496
roc_auc,5,0.83107,0.89043,0.53505,0.66511,0.6661,0.65323
roc_auc,6,0.81301,0.87322,0.4894,0.65099,0.65254,0.61198
roc_auc,7,0.80865,0.85653,0.48408,0.58668,0.58759,0.55859
