,chi,metric,val_idx,vs_method,score
209,chi_1,roc_auc,89,LR,0.52955
210,chi_1,roc_auc,90,LR,0.49344
211,chi_1,roc_auc,91,LR,0.53092
212,chi_1,roc_auc,92,LR,0.51065
213,chi_1,roc_auc,93,LR,0.51197
214,chi_1,roc_auc,94,LR,0.4642
215,chi_1,roc_auc,95,LR,0.45992
216,chi_1,roc_auc,96,LR,0.54794
217,chi_1,roc_auc,97,LR,0.55612
218,chi_1,roc_auc,98,LR,0.52081
219,chi_1,roc_auc,99,LR,0.52994
220,chi_1,roc_auc,100,LR,0.51714
221,chi_1,roc_auc,101,LR,0.4952
222,chi_1,roc_auc,102,LR,0.52372
223,chi_1,roc_auc,103,LR,0.47961
224,chi_1,roc_auc,104,LR,0.55516
225,chi_1,roc_auc,105,LR,0.54373
226,chi_1,roc_auc,106,LR,0.54425
227,chi_1,roc_auc,107,LR,0.49642
228,chi_1,roc_auc,108,LR,0.51779
229,chi_1,roc_auc,109,LR,0.49541
230,chi_1,roc_auc,110,LR,0.52654
231,chi_1,roc_auc,111,LR,0.49966
232,chi_1,roc_auc,112,LR,0.51748
233,chi_1,roc_auc,113,LR,0.53317
234,chi_1,roc_auc,114,LR,0.5027
235,chi_1,roc_auc,115,LR,0.51702
236,chi_1,roc_auc,116,LR,0.52746
237,chi_1,roc_auc,117,LR,0.56059
238,chi_1,roc_auc,118,LR,0.57754
239,chi_1,roc_auc,119,LR,0.53362
240,chi_0.75,nef,0,LR,0.17308
241,chi_0.75,nef,1,LR,0.13462
242,chi_0.75,nef,2,LR,0.15534
243,chi_0.75,nef,3,LR,0.15385
244,chi_0.75,nef,4,LR,0.125
245,chi_0.75,nef,5,LR,0.18269
246,chi_0.75,nef,6,LR,0.16505
247,chi_0.75,nef,7,LR,0.15385
248,chi_0.75,nef,8,LR,0.11538
249,chi_0.75,nef,9,LR,0.14423
250,chi_0.75,nef,10,LR,0.12621
251,chi_0.75,nef,11,LR,0.17308
252,chi_0.75,nef,12,LR,0.11538
253,chi_0.75,nef,13,LR,0.09615
254,chi_0.75,nef,14,LR,0.14423
255,chi_0.75,nef,15,LR,0.13592
256,chi_0.75,nef,16,LR,0.11538
257,chi_0.75,nef,17,LR,0.13462
258,chi_0.75,nef,18,LR,0.18447
259,chi_0.75,nef,19,LR,0.16346
260,chi_0.75,nef,20,LR,0.16346
261,chi_0.75,nef,21,LR,0.18269
262,chi_0.75,nef,22,LR,0.1068
263,chi_0.75,nef,23,LR,0.13462
264,chi_0.75,nef,24,LR,0.15385
265,chi_0.75,nef,25,LR,0.10577
266,chi_0.75,nef,26,LR,0.13592
267,chi_0.75,nef,27,LR,0.08654
268,chi_0.75,nef,28,LR,0.10577
269,chi_0.75,nef,29,LR,0.17308
270,chi_0.75,nef,30,LR,0.1165
271,chi_0.75,nef,31,LR,0.15385
272,chi_0.75,nef,32,LR,0.11538
273,chi_0.75,nef,33,LR,0.16346
274,chi_0.75,nef,34,LR,0.125
275,chi_0.75,nef,35,LR,0.1068
276,chi_0.75,nef,36,LR,0.18269
277,chi_0.75,nef,37,LR,0.11538
278,chi_0.75,nef,38,LR,0.09615
279,chi_0.75,nef,39,LR,0.18447
280,chi_0.75,nef,40,LR,0.13462
281,chi_0.75,nef,41,LR,0.10577
282,chi_0.75,nef,42,LR,0.11538
283,chi_0.75,nef,43,LR,0.09709
284,chi_0.75,nef,44,LR,0.08654
285,chi_0.75,nef,45,LR,0.16346
286,chi_0.75,nef,46,LR,0.13462
287,chi_0.75,nef,47,LR,0.15534
288,chi_0.75,nef,48,LR,0.125
289,chi_0.75,nef,49,LR,0.16346
290,chi_0.75,nef,50,LR,0.14563
291,chi_0.75,nef,51,LR,0.16346
292,chi_0.75,nef,52,LR,0.07692
293,chi_0.75,nef,53,LR,0.18269
294,chi_0.75,nef,54,LR,0.21359
295,chi_0.75,nef,55,LR,0.07692
296,chi_0.75,nef,56,LR,0.10577
297,chi_0.75,nef,57,LR,0.11538
298,chi_0.75,nef,58,LR,0.1165
299,chi_0.75,nef,59,LR,0.16346
300,chi_0.75,nef,60,LR,0.125
301,chi_0.75,nef,61,LR,0.13462
302,chi_0.75,nef,62,LR,0.2233
303,chi_0.75,nef,63,LR,0.15385
304,chi_0.75,nef,64,LR,0.21154
305,chi_0.75,nef,65,LR,0.21154
306,chi_0.75,nef,66,LR,0.11538
307,chi_0.75,nef,67,LR,0.17476
308,chi_0.75,nef,68,LR,0.19231
309,chi_0.75,nef,69,LR,0.13462
310,chi_0.75,nef,70,LR,0.09709
311,chi_0.75,nef,71,LR,0.17308
312,chi_0.75,nef,72,LR,0.11538
313,chi_0.75,nef,73,LR,0.08654
314,chi_0.75,nef,74,LR,0.10577
315,chi_0.75,nef,75,LR,0.1068
316,chi_0.75,nef,76,LR,0.14423
317,chi_0.75,nef,77,LR,0.10577
318,chi_0.75,nef,78,LR,0.12621
319,chi_0.75,nef,79,LR,0.21154
320,chi_0.75,nef,80,LR,0.14423
321,chi_0.75,nef,81,LR,0.11538
322,chi_0.75,nef,82,LR,0.15534
323,chi_0.75,nef,83,LR,0.15385
324,chi_0.75,nef,84,LR,0.13462
325,chi_0.75,nef,85,LR,0.13462
326,chi_0.75,nef,86,LR,0.14563
327,chi_0.75,nef,87,LR,0.18269
328,chi_0.75,nef,88,LR,0.17308
329,chi_0.75,nef,89,LR,0.14423
330,chi_0.75,nef,90,LR,0.17476
331,chi_0.75,nef,91,LR,0.19231
332,chi_0.75,nef,92,LR,0.13462
333,chi_0.75,nef,93,LR,0.08654
334,chi_0.75,nef,94,LR,0.14563
335,chi_0.75,nef,95,LR,0.14423
336,chi_0.75,nef,96,LR,0.14423
337,chi_0.75,nef,97,LR,0.17308
338,chi_0.75,nef,98,LR,0.09709
339,chi_0.75,nef,99,LR,0.125
340,chi_0.75,nef,100,LR,0.13462
341,chi_0.75,nef,101,LR,0.125
342,chi_0.75,nef,102,LR,0.08738
343,chi_0.75,nef,103,LR,0.13462
344,chi_0.75,nef,104,LR,0.10577
345,chi_0.75,nef,105,LR,0.125
346,chi_0.75,nef,106,LR,0.08738
347,chi_0.75,nef,107,LR,0.125
348,chi_0.75,nef,108,LR,0.14423
349,chi_0.75,nef,109,LR,0.18269
350,chi_0.75,nef,110,LR,0.12621
351,chi_0.75,nef,111,LR,0.11538
352,chi_0.75,nef,112,LR,0.11538
353,chi_0.75,nef,113,LR,0.08654
354,chi_0.75,nef,114,LR,0.16505
355,chi_0.75,nef,115,LR,0.14423
356,chi_0.75,nef,116,LR,0.13462
357,chi_0.75,nef,117,LR,0.14423
358,chi_0.75,nef,118,LR,0.15534
359,chi_0.75,nef,119,LR,0.19231
360,chi_0.75,roc_auc,0,LR,0.5572
361,chi_0.75,roc_auc,1,LR,0.52368
362,chi_0.75,roc_auc,2,LR,0.51148
363,chi_0.75,roc_auc,3,LR,0.51369
364,chi_0.75,roc_auc,4,LR,0.52147
365,chi_0.75,roc_auc,5,LR,0.60484
366,chi_0.75,roc_auc,6,LR,0.53616
367,chi_0.75,roc_auc,7,LR,0.53234
368,chi_0.75,roc_auc,8,LR,0.49908
369,chi_0.75,roc_auc,9,LR,0.52134
370,chi_0.75,roc_auc,10,LR,0.48131
371,chi_0.75,roc_auc,11,LR,0.50986
372,chi_0.75,roc_auc,12,LR,0.52052
373,chi_0.75,roc_auc,13,LR,0.54892
374,chi_0.75,roc_auc,14,LR,0.49378
375,chi_0.75,roc_auc,15,LR,0.52987
376,chi_0.75,roc_auc,16,LR,0.4818
377,chi_0.75,roc_auc,17,LR,0.52355
378,chi_0.75,roc_auc,18,LR,0.51721
379,chi_0.75,roc_auc,19,LR,0.51574
380,chi_0.75,roc_auc,20,LR,0.54964
381,chi_0.75,roc_auc,21,LR,0.52396
382,chi_0.75,roc_auc,22,LR,0.43703
383,chi_0.75,roc_auc,23,LR,0.47708
384,chi_0.75,roc_auc,24,LR,0.52861
385,chi_0.75,roc_auc,25,LR,0.51791
386,chi_0.75,roc_auc,26,LR,0.5077
387,chi_0.75,roc_auc,27,LR,0.48633
388,chi_0.75,roc_auc,28,LR,0.53837
389,chi_0.75,roc_auc,29,LR,0.57811
390,chi_0.75,roc_auc,30,LR,0.55421
391,chi_0.75,roc_auc,31,LR,0.5763
392,chi_0.75,roc_auc,32,LR,0.51715
393,chi_0.75,roc_auc,33,LR,0.52657
394,chi_0.75,roc_auc,34,LR,0.52613
395,chi_0.75,roc_auc,35,LR,0.51019
396,chi_0.75,roc_auc,36,LR,0.56469
397,chi_0.75,roc_auc,37,LR,0.5035
398,chi_0.75,roc_auc,38,LR,0.5421
399,chi_0.75,roc_auc,39,LR,0.52622
400,chi_0.75,roc_auc,40,LR,0.46606
401,chi_0.75,roc_auc,41,LR,0.461
402,chi_0.75,roc_auc,42,LR,0.49794
403,chi_0.75,roc_auc,43,LR,0.51568
404,chi_0.75,roc_auc,44,LR,0.51525
405,chi_0.75,roc_auc,45,LR,0.5877
406,chi_0.75,roc_auc,46,LR,0.54872
407,chi_0.75,roc_auc,47,LR,0.54405
408,chi_0.75,roc_auc,48,LR,0.52166
409,chi_0.75,roc_auc,49,LR,0.55996
410,chi_0.75,roc_auc,50,LR,0.538
411,chi_0.75,roc_auc,51,LR,0.54511
412,chi_0.75,roc_auc,52,LR,0.50837
413,chi_0.75,roc_auc,53,LR,0.52568
414,chi_0.75,roc_auc,54,LR,0.57237
415,chi_0.75,roc_auc,55,LR,0.51951
416,chi_0.75,roc_auc,56,LR,0.52064
417,chi_0.75,roc_auc,57,LR,0.49677
418,chi_0.75,roc_auc,58,LR,0.50012
419,chi_0.75,roc_auc,59,LR,0.51191
420,chi_0.75,roc_auc,60,LR,0.49893
421,chi_0.75,roc_auc,61,LR,0.50998
422,chi_0.75,roc_auc,62,LR,0.58405
423,chi_0.75,roc_auc,63,LR,0.55054
424,chi_0.75,roc_auc,64,LR,0.61416
425,chi_0.75,roc_auc,65,LR,0.55936
426,chi_0.75,roc_auc,66,LR,0.53391
427,chi_0.75,roc_auc,67,LR,0.58298
428,chi_0.75,roc_auc,68,LR,0.56275
429,chi_0.75,roc_auc,69,LR,0.54595
430,chi_0.75,roc_auc,70,LR,0.49602
431,chi_0.75,roc_auc,71,LR,0.58119
432,chi_0.75,roc_auc,72,LR,0.46096
433,chi_0.75,roc_auc,73,LR,0.47659
434,chi_0.75,roc_auc,74,LR,0.50174
435,chi_0.75,roc_auc,75,LR,0.51654
436,chi_0.75,roc_auc,76,LR,0.53254
437,chi_0.75,roc_auc,77,LR,0.48871
438,chi_0.75,roc_auc,78,LR,0.53084
439,chi_0.75,roc_auc,79,LR,0.57384
440,chi_0.75,roc_auc,80,LR,0.54198
441,chi_0.75,roc_auc,81,LR,0.48145
442,chi_0.75,roc_auc,82,LR,0.50678
443,chi_0.75,roc_auc,83,LR,0.53844
